fecha|modeloAvion|lugarAccidente|fallecidosTotales
Jun 16, 1979|PZL-Mielec AN-2|Petropavlovsk-Kamchatsky, Kamchatka Krai|0
Jun 14, 1979|Fletcher FU-24|Horohoro, Waikato Regional Council|1
Jun 12, 1979|Douglas DC-3|Fort Lauderdale-Executive, Florida|2
Jun 11, 1979|Carstedt Jet Liner 600|Saint Louis-Lambert, Missouri|0
Jun 11, 1979|Cessna 404 Titan|Annemasse, Haute-Savoie|1
Jun 9, 1979|Beechcraft 99 Airliner|Chicago-Merrill C. Meigs, Illinois|2
Jun 7, 1979|PZL-Mielec AN-2|Dovorets, Novgorod oblast|2
Jun 7, 1979|Hindustan Aeronautics HAL-748|Leh-Kushok Bakula Rinpoche, Jammu and Kashmir|28
Jun 6, 1979|Douglas DC-6|Charleston-Yaeger (Kanawha), West Virginia|0
Jun 1, 1979|Armstrong Whitworth AW.650 Argosy|Lubumbashi, Katanga|0
May 31, 1979|Swearingen SA226T Merlin III|San Marcos, Texas|0
May 30, 1979|De Havilland DHC-6 Twin Otter|Rockland-Knox County, Maine|17
May 30, 1979|Cessna 402|Queenstown, Tasmania|0
May 27, 1979|Rockwell Grand Commander 680|Bern-Belp, Bern|0
May 27, 1979|Beechcraft 65 Queen Air|Boca Raton, Florida|1
May 27, 1979|SCAN-30|Skykomish, Washington|4
May 24, 1979|PZL-Mielec AN-2|Orenburg, Orenburg oblast|0
May 19, 1979|Tupolev TU-134|Ufa, Republic of Bashkortostan|0
May 15, 1979|Cessna 340|Goulburn, New South Wales|1
May 15, 1979|Douglas C-54 Skymaster|Mesa-Falcon Field, Arizona|0
May 10, 1979|Ilyushin II-18|Sochi-Adler, Krasnodar Krai|0
May 9, 1979|Beechcraft E18|Burton, Ohio|1
Apr 28, 1979|Piper PA-31-310 Navajo|LaBelle, Florida|2
Apr 27, 1979|Piper PA-31 Cheyenne|Elyria-Lorain County, Ohio|2
Apr 23, 1979|Vickers Viscount|Shell, Pastaza|57
Apr 23, 1979|Cessna 421C Golden Eagle III|Kenansville, Florida|0
Apr 18, 1979|Canadian Vickers PBV-1 Canso (OA-10 Canso)|Chiguayante, Región del Biobío|3
Apr 14, 1979|Grumman G-21A Goose|Avalon (Catalina Island), California|1
Apr 12, 1979|Lockheed 18 LodeStar|Lincolnton-Prater Ranch, Georgia|0
Apr 11, 1979|Lockheed PV-1 Ventura|Belle Glade, Florida|0
Apr 10, 1979|Beechcraft E18|Youngstown-Warren, Ohio|0
Apr 10, 1979|Fletcher FU-24|Paparata, Auckland Council|1
Apr 4, 1979|Beechcraft E18|Newburgh-Stewart, New York|0
Apr 3, 1979|Beechcraft E18|Chicago-O'Hare, Illinois|0
Mar 31, 1979|Piper PA-31-310 Navajo|Mt Fleckistock, Uri|4
Mar 30, 1979|Cessna 414 Chancellor|Ebersberg, Bavaria|0
Mar 25, 1979|Antonov AN-26|Baykit, Krasnoyarsk Krai|4
Mar 23, 1979|Beechcraft E18|Cedar Rapids, Iowa|2
Mar 22, 1979|Tupolev TU-134|Liepaja, Courland (Kurzeme)|4
Mar 21, 1979|De Havilland DHC-2 Beaver|Atlin, British Columbia|1
Mar 18, 1979|Piper PA-61 Aerostar (Ted Smith 601)|Aspen-Pitkin County-Sardy Field, Colorado|4
Mar 17, 1979|Tupolev TU-104|Moscow-Vnukovo, Moscow oblast|59
Mar 14, 1979|Piper PA-61 Aerostar (Ted Smith 601)|Columbus-Ohio State University-Don Scott, Ohio|3
Mar 14, 1979|Hawker Siddeley HS.121 Trident|Beijing-Xijiao, Beijing|192
Mar 12, 1979|Sud-Aviation SE-210 Caravelle|Frankfurt-Main, Hesse|0
Mar 10, 1979|Piper PA-31-350 Navajo Chieftain|Springfield-Hartness State, Vermont|4
Mar 10, 1979|Nord 262|Los Angeles, California|3
Mar 6, 1979|Fokker F28 Fellowship|Mt Bromo, East Java|4
Mar 1, 1979|Beechcraft 70 Queen Air|Gulfport-Biloxi, Mississippi|8
Feb 23, 1979|Piper PA-31 Cheyenne|Baltimore-Washington-Thurgood Marshall, Maryland|3
Feb 23, 1979|Beechcraft D18|Memphis, Tennessee|0
Feb 23, 1979|De Havilland DHC-2 Beaver|Kuujjuarapik (Poste-de-la-Baleine), Quebec|1
Feb 22, 1979|Cessna 421A Golden Eagle I|Kansas City-Charles B. Wheeler-Downtown, Missouri|3
Feb 18, 1979|PZL-Mielec AN-2|Jalal-Abad, Jalal-Abad Province|2
Feb 17, 1979|Fokker F27 Friendship|Auckland, Auckland Council|2
Feb 17, 1979|Piper PA-61 Aerostar (Ted Smith 601)|New Braunfels, Texas|2
Feb 9, 1979|Douglas DC-9|Dade-Collier, Florida|0
Feb 7, 1979|Cessna 414 Chancellor|Arlington, Kansas|0
Feb 5, 1979|PZL-Mielec AN-2|Trebinje, Republika Srpska|3
Feb 1, 1979|Piper PA-61 Aerostar (Ted Smith 601)|Charleville, Queensland|0
Jan 28, 1979|Fokker F27 Friendship|Rodez, Aveyron|5
Jan 26, 1979|BAe 125|Taos, New Mexico|0
Jan 24, 1979|Nord 262|Béchar, Béchar|14
Jan 24, 1979|Fairchild C-119 Flying Boxcar|Pisa-San Giusto-Galileo Galilei (Arturo dell'Oro), Tuscany|0
Jan 23, 1979|De Havilland DHC-2 Beaver|Ketchikan, Alaska|0
Jan 23, 1979|Mitsubishi MU-2 Marquise|Searcy, Arkansas|0
Jan 23, 1979|Lockheed C-130 Hercules|Milan-Malpensa, Lombardy|0
Jan 22, 1979|Partenavia P.68|Lydd, Kent|3
Jan 20, 1979|Rockwell Grand Commander 680|Pendleton, Oregon|0
Jan 19, 1979|Piper PA-61 Aerostar (Ted Smith 601)|Grand Rapids-Gerald R. Ford (Kent County), Michigan|4
Jan 18, 1979|Rockwell Aero Commander 560|Tinker AFB, Oklahoma|1
Jan 16, 1979|Beechcraft D18|Kenansville, Florida|2
Jan 15, 1979|Antonov AN-24|Minsk-Loshitsa (Minsk-1), City of Minsk|13
Jan 14, 1979|Grumman G-73 Mallard|Avalon (Catalina Island), California|0
Jan 11, 1979|Piper PA-60 Aerostar (Ted Smith 600)|Templeton, Massachusetts|2
Jan 11, 1979|Piper PA-31-350 Navajo Chieftain|Templeton, Massachusetts|3
Jan 11, 1979|Rockwell Grand Commander 680|El Reno, Oklahoma|3
Jan 10, 1979|Douglas DC-3|Southbay, Florida|0
Jan 9, 1979|Cessna 421C Golden Eagle III|Spanish Fork, Utah|5
Jan 8, 1979|Cessna 411|Jacksonville-Executive at Craig, Florida|3
Jan 5, 1979|Lockheed L-188 Electra|Inigok, Alaska|0
Jan 4, 1979|Beechcraft G18S|Sacramento-Executive, California|2
Dec 30, 1978|Beechcraft 90 King Air|Houston-George Bush-Intercontinental, Texas|1
Dec 28, 1978|Douglas DC-8|Portland-Intl, Oregon|10
Dec 25, 1978|Piper PA-31-350 Navajo Chieftain|Lake Placid, New York|3
Dec 23, 1978|Douglas DC-9|Palermo-Punta Raisi, Sicily|108
Dec 21, 1978|Cessna 207 Skywagon/Stationair|Chevak, Alaska|2
Dec 20, 1978|Learjet 25|Minneapolis-Saint Paul, Minnesota|0
Dec 20, 1978|Piper PA-31-310 Navajo|Dallas-Love Field, Texas|0
Dec 19, 1978|Beechcraft C-45 Expeditor|Bordelonville-Brumfield, Louisiana|5
Dec 19, 1978|Antonov AN-24|Samarkand, Samarkand Province (Samarqand viloyati)|5
Dec 18, 1978|De Havilland DH.114 Heron|Cleveland-Hopkins, Ohio|0
Dec 14, 1978|Douglas C-47 Skytrain (DC-3)|Belle Glade, Florida|0
Dec 4, 1978|Learjet 25|Anchorage-Ted Stevens Intl, Alaska|5
Dec 2, 1978|Douglas C-47 Skytrain (DC-3)|Des Moines, Iowa|0
Nov 29, 1978|Convair CV-240|Miami-Executive (Kendall-Tamiami), Florida|1
Nov 25, 1978|De Havilland DHC-2 Beaver|Hydaburg, Alaska|5
Nov 22, 1978|Swearingen SA26T Merlin II|Olive Branch, Mississippi|1
Nov 21, 1978|Douglas C-47 Skytrain (DC-3)|Rubio, Táchira|28
Nov 18, 1978|De Havilland DHC-6 Twin Otter|Marie-Galante, All Guadeloupe|15
Nov 17, 1978|Rockwell Shrike Commander 500|Gallup, New Mexico|1
Nov 16, 1978|Beechcraft G18S|Hays, Kansas|2
Nov 15, 1978|Douglas DC-8|Colombo-Bandaranaike, Western Province (மேல் மாகாணம்)|183
Nov 14, 1978|Douglas C-47 Skytrain (DC-3)|Ma'rib, Ma'rib (مأرب)|0
Nov 11, 1978|Rockwell Turbo Commander 680/681|Lucerne Valley, California|0
Nov 3, 1978|Beechcraft D18|Flint-Bishop, Michigan|0
Oct 31, 1978|Grumman G-44 Widgeon|Cordova, Alaska|3
Oct 28, 1978|Cessna 402|North Bay, Ontario|1
Oct 27, 1978|PZL-Mielec AN-2|Saratov-Tsentralny, Saratov oblast|14
Oct 27, 1978|Partenavia P.68|Leer-Papenburg (Leer-Nüttermoor), Lower Saxony|1
Oct 24, 1978|Beechcraft 80 Queen Air|Torreon, New Mexico|4
Oct 24, 1978|Learjet 24|Las Vegas-McCarran, Nevada|0
Oct 20, 1978|Learjet 25|Vickery, Ohio|3
Oct 19, 1978|Rockwell Grand Commander 680|Guadalupe, Chihuahua|6
Oct 18, 1978|PZL-Mielec AN-2|Nizhnevartovsk, Khantia-Mansia okrug|0
Oct 17, 1978|PZL-Mielec AN-2|Lanovtsy, Ternopil Oblast|2
Oct 17, 1978|Morane-Saulnier M.S.760 Paris|Alief-Andrau Airpark (Houston), Texas|0
Oct 17, 1978|Learjet 24|Lancaster-General William J. Fox, California|1
Oct 15, 1978|Lockheed L-1049 Super Constellation|Riohacha, La Guajira|1
Oct 11, 1978|Beechcraft G18S|Cleveland-Hopkins, Ohio|0
Oct 9, 1978|De Havilland DHC-2 Beaver|Potter Lake, Ontario|3
Sep 29, 1978|PZL-Mielec AN-2|Ulan Bator, Ulan Bator City District|0
Sep 25, 1978|Boeing 727-200|San Diego, California|142
Sep 23, 1978|Rockwell Aero Commander 500|Laredo, Texas|7
Sep 23, 1978|PZL-Mielec AN-2|Novoaleksandrovsk, Stavropol Krai|3
Sep 18, 1978|Piper PA-31-350 Navajo Chieftain|Granville, Massachusetts|2
Sep 18, 1978|Douglas C-47 Skytrain (DC-3)|Komakuk, Yukon|0
Sep 13, 1978|De Havilland DHC-2 Beaver|Whittier, Alaska|6
Sep 11, 1978|Rockwell Shrike Commander 500|Hammondsport, New York|3
Sep 8, 1978|PZL-Mielec AN-2|Yablunivka, Chernihiv Oblast|2
Sep 7, 1978|Cessna 402|Hyder, Arizona|0
Sep 6, 1978|Douglas DC-7|Farmerville, Louisiana|1
Sep 6, 1978|Rockwell Aero Commander 500|Great Falls, Montana|1
Sep 5, 1978|De Havilland DHC-2 Beaver|Quesnel, British Columbia|4
Sep 4, 1978|Cessna 421B Golden Eagle II|Stansted, Essex|1
Sep 4, 1978|Convair CV-240|Clewiston, Florida|2
Sep 2, 1978|Grumman G-21A Goose|Saint Thomas, All US Virgin Islands|4
Aug 31, 1978|Piper PA-31-310 Navajo|Charlotte-Douglas, North Carolina|0
Aug 28, 1978|Mitsubishi MU-2 Marquise|Manchester, New Hampshire|2
Aug 27, 1978|Douglas DC-6|Fanja, Ad Dakhiliyah Governorate|4
Aug 25, 1978|Mitsubishi MU-2 Marquise|Raton, New Mexico|6
Aug 23, 1978|De Havilland DHC-6 Twin Otter|Frobisher Bay, Nunavut|1
Aug 20, 1978|Grumman S-2 Tracker|Laytonville, California|1
Aug 16, 1978|PZL-Mielec AN-2|Nukus, Karakalpakstan (Qaraqalpaqstan Respublikasi)|0
Aug 13, 1978|Swearingen SA226 Metro II|Austin-Robert Mueller, Texas|0
Aug 8, 1978|Rockwell Aero Commander 560|Bimini, Bimini|6
Aug 8, 1978|Beechcraft D18|Chicago-O'Hare, Illinois|0
Aug 7, 1978|Piper PA-31-310 Navajo|East Hampton, New York|0
Aug 4, 1978|Cessna 414 Chancellor|Bluefield-Mercer County, West Virginia|0
Aug 3, 1978|Boeing 707|Buenos Aires-Ezeiza-Ministro Pistarini, Buenos Aires City|0
Aug 3, 1978|Cessna 401|Aspen-Pitkin County-Sardy Field, Colorado|0
Aug 3, 1978|Percival P.66 Pembroke|Sylvester, Georgia|0
Jul 30, 1978|Percival P.66 Pembroke|Ciénaga, Magdalena|0
Jul 28, 1978|Cessna 402|Indianapolis-Regional, Indiana|0
Jul 24, 1978|Britten-Norman Trislander|Nyeri, Central|5
Jul 22, 1978|De Havilland DHC-3 Otter|Kotzebue-Ralph Wien Memorial, Alaska|0
Jul 19, 1978|Piper PA-60 Aerostar (Ted Smith 600)|Jacksonville, Florida|2
Jul 16, 1978|Douglas C-47 Skytrain (DC-3)|Mt Kennedy, Magdalena|8
Jul 13, 1978|De Havilland DHC-6 Twin Otter|Candor, North Carolina|5
Jul 12, 1978|Travel Air 4000|Tolleson, Arizona|0
Jul 11, 1978|Cessna 207 Skywagon/Stationair|Olga, Washington|0
Jul 9, 1978|BAc 111|Rochester, New York|0
Jul 3, 1978|De Havilland DHC-2 Beaver|Pelican, Alaska|0
Jun 30, 1978|Cessna 207 Skywagon/Stationair|Omalik, Alaska|1
Jun 27, 1978|Beechcraft 80 Queen Air|Mobile-Bates Field, Alabama|1
Jun 25, 1978|PZL-Mielec AN-2|Vladivostok, Primorsky Krai|0
Jun 22, 1978|Beechcraft 100 King Air|Muscle Shoals, Alabama|0
Jun 8, 1978|Douglas DC-6|Guatemala City-La Aurora, Guatemala|3
Jun 8, 1978|PZL-Mielec AN-2|Kuybyshev, Samara oblast|0
Jun 5, 1978|Piper PA-31 Cheyenne|Lamar, Colorado|4
Jun 4, 1978|Grumman G-21A Goose|Charlotte Amalie-Cyril E. King (ex Harry S. Truman), All US Virgin Islands|0
May 29, 1978|PZL-Mielec AN-2|Postavy, Vitebsk voblast|0
May 26, 1978|Rockwell 1121 Jet Commander|Winnipeg, Manitoba|0
May 25, 1978|Convair CV-880|Miami-Intl, Florida|0
May 23, 1978|Piper PA-31-310 Navajo|Fleetville, Pennsylvania|1
May 19, 1978|Cessna 402|Alexandria, Minnesota|1
May 18, 1978|Cessna 340|Hollywood-Burbank (Bob Hope), California|0
May 18, 1978|Dassault Falcon 20|Memphis, Tennessee|4
May 13, 1978|Piper PA-31 Cheyenne|Pellston-Emmet County, Michigan|3
May 12, 1978|Grumman G-21A Goose|Port Moller, Alaska|0
May 8, 1978|Boeing 727-200|Pensacola, Florida|3
May 7, 1978|PZL-Mielec AN-2|Karnaukhovskiy, Rostov oblast|3
May 6, 1978|Antonov AN-2|Gazimurski Zavod, Zabaykalsky Krai|10
May 5, 1978|Douglas DC-6|Paramaribo-Zanderij, Para|0
May 1, 1978|Lockheed 18 LodeStar|Durbin, Florida|3
May 1, 1978|PZL-Mielec AN-2|Ufa, Republic of Bashkortostan|0
Apr 30, 1978|Beechcraft D18|Ocala, Florida|2
Apr 28, 1978|Cessna 411|Fresno, California|0
Apr 27, 1978|Piper PA-61 Aerostar (Ted Smith 601)|Gulf of Mexico, All World|1
Apr 25, 1978|Breguet Bre.1150 Atlantic|Nordholz AFB, Lower Saxony|0
Apr 22, 1978|Rockwell Aero Commander 560|Holopaw, Florida|0
Apr 18, 1978|Douglas DC-4|Bottle Creek, All Turks and Caicos Islands|0
Apr 18, 1978|De Havilland DHC-2 Beaver|Cordova, Alaska|2
Apr 15, 1978|Lockheed C-130 Hercules|Bicycle Lake AFB, California|3
Apr 5, 1978|Rockwell Grand Commander 680|Fellsmere, Florida|1
Apr 5, 1978|Grumman G-21A Goose|Red Hook, All US Virgin Islands|2
Mar 31, 1978|Rockwell Aero Commander 500|Salisbury-Wicomico County, Maryland|5
Mar 26, 1978|Cessna 411|Santa Fe, New Mexico|6
Mar 25, 1978|Beechcraft H18|Saint Louis-Downtown, Illinois|3
Mar 25, 1978|Rockwell Grand Commander 680|Atlantic Ocean, All World|2
Mar 22, 1978|Cessna 207 Skywagon/Stationair|Riverside, California|6
Mar 19, 1978|Beechcraft 90 King Air|Houston, Texas|2
Mar 17, 1978|Beechcraft 65 Queen Air|Angmagssalik (Tasiilaq), Kommuneqarfik Sermersooq|2
Mar 16, 1978|Piper PA-31-310 Navajo|Leesburg-Flying Baron Estates, Florida|1
Mar 16, 1978|De Havilland DHC-5 Buffalo|Rio Branco, Acre|0
Mar 3, 1978|Cessna 411|Chilcoot, California|4
Mar 3, 1978|Douglas DC-8|Santiago de Compostela, Galicia|0
Mar 2, 1978|Beechcraft G18S|Rockingham-Hamlet, North Carolina|0
Mar 2, 1978|Fokker F28 Fellowship|Kano, Kano|16
Feb 28, 1978|Rockwell Aero Commander 500|Solvang, California|7
Feb 27, 1978|Evangel 4500|Merrill Pass, Alaska|3
Feb 27, 1978|Beechcraft 90 King Air|Big Piney, Wyoming|6
Feb 25, 1978|Fairchild-Hiller FH-227|Abadan, Khuzestan|0
Feb 24, 1978|Douglas DC-6|San Juan-Luis Muñoz Marín (Isla Verde), All Puerto Rico|0
Feb 19, 1978|Rockwell Aero Commander 560|Glenrock, Wyoming|6
Feb 18, 1978|Piper PA-31-310 Navajo|Searcy, Arkansas|2
Feb 17, 1978|Beechcraft E18|Harrisburg, Pennsylvania|0
Feb 16, 1978|Cessna 340|Amarillo-Rick Husband, Texas|1
Feb 13, 1978|Cessna 402|Gävle, Gästrikland|4
Feb 13, 1978|Rockwell Grand Commander 680|Morrisville, North Carolina|4
Feb 11, 1978|Boeing 737-200|Cranbrook, British Columbia|42
Feb 11, 1978|Beechcraft D18|Clewiston, Florida|2
Feb 10, 1978|Beechcraft 99 Airliner|Richland, Washington|17
Feb 8, 1978|Douglas C-49 (DC-3)|Tamanrasset, Tamanrasset|0
Feb 6, 1978|Cessna 402|Greensboro, North Carolina|1
Feb 1, 1978|Cessna 402|Tuscaloosa, Alabama|1
Feb 1, 1978|PZL-Mielec AN-2|Krasnoye, Vologda oblast|2
Jan 22, 1978|Rockwell Grand Commander 680|Katherine, Northern Territory|0
Jan 20, 1978|Britten-Norman Islander|Toksook Bay, Alaska|1
Jan 20, 1978|Beechcraft U-21 Ute|Sinop, Black Sea Region (Karadeniz Bölgesi)|5
Jan 19, 1978|Mitsubishi MU-2 Marquise|Hawesville-Hancock County-Ron Lewis Field, Kentucky|0
Jan 18, 1978|De Havilland DHC-6 Twin Otter|Pueblo, Colorado|3
Jan 10, 1978|Beechcraft 90 King Air|Yazoo City, Mississippi|5
Jan 6, 1978|Piper PA-31-350 Navajo Chieftain|Anniston, Alabama|1
Jan 5, 1978|Rockwell Aero Commander 500|Miles City, Montana|1
Jan 5, 1978|Antonov AN-30|Semipalatinsk, Pavlodar|7
Jan 3, 1978|Cessna 421B Golden Eagle II|Knoxville-McGee Tyson, Tennessee|5
Jan 3, 1978|Cessna 402|Leutkirch-Unterzeil, Baden-Württemberg|4
Jan 1, 1978|Boeing 747-200|Mumbai-Chhatrapati Shivaji (Santa Cruz), Maharashtra|213
Dec 31, 1977|Short SC.7 Skyvan Variant|Toksook Bay, Alaska|0
Dec 31, 1977|Tupolev TU-124|Voroshilovgrad, Luhansk Oblast|0
Dec 29, 1977|Vickers Viscount|Cuenca-Mariscal La Mar, Azuay|24
Dec 23, 1977|Cessna 207 Skywagon/Stationair|Iliamna, Alaska|0
Dec 21, 1977|Antonov AN-12|Pechory, Pskov oblast|8
Dec 19, 1977|PZL-Mielec AN-2|Podkopayevo, Kaluga oblast|0
Dec 18, 1977|Sud-Aviation SE-210 Caravelle|Funchal, Madeira|36
Dec 18, 1977|Douglas DC-8|Kaysville, Utah|3
Dec 14, 1977|Vickers Viscount|Bucaramanga-Palonegro, Santander|0
Dec 13, 1977|Douglas C-53 Skytrooper (DC-3)|Evansville-William H. Dress, Indiana|29
Dec 11, 1977|Lockheed P-3 Orion|Hierro Island, Canary Islands|13
Dec 11, 1977|Casa 2.111|Guadarrama, Madrid|4
Dec 9, 1977|BAe 125|Churchill Falls, Newfoundland & Labrador|8
Dec 1, 1977|De Havilland DHC-6 Twin Otter|Narvaez Bay (Saturna Island), British Columbia|0
Nov 27, 1977|Cessna 414 Chancellor|Aspen-Pitkin County-Sardy Field, Colorado|1
Nov 24, 1977|Piper PA-31 Cheyenne|Beckley-Raleigh County, West Virginia|6
Nov 23, 1977|Ilyushin II-18|Bucharest-Otopeni-Henri Coandă, București|0
Nov 22, 1977|Tupolev TU-134|Berlin-Schönefeld, Berlin|0
Nov 21, 1977|BAc 111|San Carlos de Bariloche, Río Negro|46
Nov 19, 1977|Boeing 727-200|Funchal, Madeira|131
Nov 19, 1977|Boeing 707|Rome-Fiumicino-Leonardo da Vinci, Lazio|5
Nov 7, 1977|Rockwell Sabreliner 40|New Orleans-Lakefront, Louisiana|3
Nov 5, 1977|PZL-Mielec AN-2|Mt Aag, Kamchatka Krai|7
Nov 3, 1977|Piper PA-31-310 Navajo|Manitowoc, Wisconsin|0
Oct 27, 1977|Ilyushin II-14|Cape Chelyuskin, Krasnoyarsk Krai|0
Oct 23, 1977|Douglas C-47 Skytrain (DC-3)|Manidar, Razavi Khorasan|3
Oct 19, 1977|Beechcraft 200 Super King Air|Valparaiso, Indiana|1
Oct 18, 1977|Avro 748|Manila-Ninoy Aquino, Metro Manila|5
Oct 8, 1977|Britten-Norman Trislander|Lanseria, Gauteng|0
Oct 5, 1977|Learjet 25|Amarillo-Rick Husband, Texas|0
Oct 5, 1977|Pilatus PC-6 (Porter & Turbo Porter)|Oklahoma City-Wiley Post, Oklahoma|5
Oct 1, 1977|De Havilland DHC-2 Beaver|Stevens Pass, Washington|7
Sep 28, 1977|Cessna 402|Mercer, Pennsylvania|2
Sep 27, 1977|Beechcraft 100 King Air|Auburn-Opelika-Robert G. Pitts (University Regional), Alabama|1
Sep 27, 1977|PZL-Mielec AN-2|Samarkand, Samarkand Province (Samarqand viloyati)|0
Sep 27, 1977|Douglas DC-8|Kuala Lumpur-Subang-Sultan Abdul Aziz Shah, Selangor|34
Sep 23, 1977|Learjet 36|Amman-Marka, Amman City District|4
Sep 21, 1977|Tupolev TU-134|Urziceni, Ialomița|29
Sep 21, 1977|Max Holste M.H.1521M Broussard|Cahors-Lalbenque, Lot|1
Sep 14, 1977|Boeing KC-135 Stratotanker|Kirtland AFB, New Mexico|20
Sep 12, 1977|Douglas DC-7|Yakutat, Alaska|4
Sep 8, 1977|De Havilland DHC-6 Twin Otter|Keng Tung, Shan State|25
Sep 6, 1977|De Havilland DHC-6 Twin Otter|Iliamna, Alaska|13
Sep 4, 1977|Vickers Viscount|Cuenca-Mariscal La Mar, Azuay|33
Aug 31, 1977|Beechcraft C-45 Expeditor|Detroit-Willow Run (Ypsilanti), Michigan|1
Aug 31, 1977|PZL-Mielec AN-2|Otrado-Olginskoye, Krasnodar Krai|0
Aug 29, 1977|Antonov AN-2|Omolon, Chukotka okrug|0
Aug 25, 1977|Short SC.7 Skyvan Variant|Kona-Keahole, Hawaii|2
Aug 23, 1977|PZL-Mielec AN-2|Selikhino, Khabarovsk Krai|10
Aug 23, 1977|Noorduyn Norseman|Indian House, Quebec|0
Aug 20, 1977|Beechcraft G18S|Aero Oasis, Florida|1
Aug 19, 1977|De Havilland DHC-2 Beaver|Morrisville, Pennsylvania|1
Aug 18, 1977|Antonov AN-26|Ust-Kuyga, Republic of Yakutia (Sakha)|0
Aug 15, 1977|Piper PA-31-350 Navajo Chieftain|Austin-Robert Mueller, Texas|0
Aug 13, 1977|Howard Super Ventura (Howard 500)|Pawhuska, Oklahoma|0
Aug 12, 1977|Piper PA-61 Aerostar (Ted Smith 601)|Burns, Oregon|1
Aug 11, 1977|Antonov AN-2|Susuman, Magadan oblast|3
Aug 11, 1977|Beechcraft H18|Wrangell, Alaska|6
Aug 9, 1977|Boeing 707|Sana'a, Sana'a (صنعاء)|0
Aug 8, 1977|Cessna 404 Titan|Christchurch, Canterbury Regional Council|1
Aug 7, 1977|De Havilland DHC-6 Twin Otter|El Bolsón, Río Negro|6
Aug 6, 1977|Let L-410|Lake Balaton, All Hungary|1
Aug 4, 1977|De Havilland DHC-3 Otter|Alatna River, Alaska|1
Jul 31, 1977|Beechcraft 90 King Air|Sitka, Alaska|5
Jul 25, 1977|MBB HFB-320 Hansa Jet|Abidjan, Lagunes|3
Jul 24, 1977|Douglas DC-6|Puerto Montt-El Tepual, Región de Los Lagos|38
Jul 21, 1977|Britten-Norman Islander|Ruby, Alaska|1
Jul 20, 1977|Piper PA-31-310 Navajo|Rochester, New York|1
Jul 20, 1977|Douglas DC-3|Jimma, Oromia|5
Jul 20, 1977|Avia 14|Vitim, Republic of Yakutia (Sakha)|39
Jul 18, 1977|Douglas DC-3|Ardoch, North Dakota|2
Jul 8, 1977|Antonov AN-24|Sukhumi-Babushara, Abkhazia|6
Jul 7, 1977|Cessna 421A Golden Eagle I|San Rafael, California|1
Jul 7, 1977|Let L-410|Uherské Hradiště-Kunovice, Moravian-Silesian Region (Moravskoslezský kraj)|4
Jul 6, 1977|Lockheed L-188 Electra|Saint Louis-Lambert, Missouri|3
Jul 1, 1977|Ford 4|Put-in-Bay, Ohio|0
Jun 27, 1977|Britten-Norman Islander|Nucet, Dâmbovița|5
Jun 25, 1977|Piper PA-31-350 Navajo Chieftain|Grand Canyon-National Park, Arizona|5
Jun 21, 1977|Lockheed C-130 Hercules|Wake Island, United States Minor Outlying Islands|16
Jun 20, 1977|Embraer EMB-110 Bandeirante|Salto, Salto|12
Jun 13, 1977|Douglas DC-3|Newton, Georgia|0
Jun 7, 1977|Rockwell Grand Commander 680|Upland, California|5
Jun 3, 1977|Beechcraft E18|Springfield, Ohio|1
Jun 2, 1977|PZL-Mielec AN-2|Kalinovskaya, Republic of Chechnya|1
May 28, 1977|Yakovlev Yak-40|Genoa, Liguria|0
May 27, 1977|Ilyushin II-62|Havana-José Martí (Rancho Boyeros), La Habana|67
May 26, 1977|Learjet 25|Detroit-Metropolitan-Wayne County, Michigan|0
May 20, 1977|Lockheed 18 LodeStar|Lone Pine, California|0
May 13, 1977|Antonov AN-12|Beirut, Beirut Governorate|9
May 9, 1977|De Havilland DH.114 Heron|Ardmore, Auckland Council|0
May 7, 1977|Antonov AN-2|Tavda, Sverdlovsk oblast|15
May 7, 1977|PZL-Mielec AN-2|Tavda, Sverdlovsk oblast|14
May 6, 1977|Piper PA-31-310 Navajo|Taplin, West Virginia|3
Apr 29, 1977|NAMC YS-11|Navegantes-Itajaí, Santa Catarina|0
Apr 28, 1977|Learjet 35|Riyadh-King Abdulaziz, Manţiqat ar Riyāḍ (منطقة الرياض)|2
Apr 27, 1977|Rockwell Sabreliner 75|Chicago-Executive (Palwaukee), Illinois|0
Apr 27, 1977|Convair CV-440 Metropolitan|Guatemala City-La Aurora, Guatemala|0
Apr 25, 1977|Fokker F27 Friendship|Sokoto, Sokoto|0
Apr 21, 1977|Ilyushin II-18|Bucharest-Otopeni-Henri Coandă, București|0
Apr 20, 1977|PZL-Mielec AN-2|Koptevka, Mogilev voblast|2
Apr 19, 1977|Antonov AN-24|Tapa AFB, Lääne-Virumaa|21
Apr 18, 1977|Beechcraft 200 Super King Air|Ruddock, Louisiana|5
Apr 17, 1977|De Havilland DHC-3 Otter|Salkeld Lake, Northwest Territories|0
Apr 15, 1977|Cessna 207 Skywagon/Stationair|Wausau, Wisconsin|0
Apr 14, 1977|Cessna 414 Chancellor|Raitersach, Bavaria|6
Apr 12, 1977|Douglas C-47 Skytrain (DC-3)|Wunnummin Lake, Ontario|0
Apr 10, 1977|Douglas DC-3|Saliente del Rio Guape, Meta|35
Apr 9, 1977|Nord 262|Reading, Pennsylvania|3
Apr 9, 1977|Convair CV-240|Hyannis-Barnstable, Massachusetts|0
