Image|Date|Operator|A/C Type|Location|Fatalities|Registration|Unnamed: 7
|Dec 30, 1974||PZL-Mielec AN-2|Bozoy, Aktobe|3|CCCP-40518|+
|Dec 29, 1974||Antonov AN-24|Sibiu, Sibiu|33|YR-AMD|+
|Dec 27, 1974||Rockwell Sabreliner 60|Lancaster-Fairfield County, Ohio|3|N920G|+
|Dec 27, 1974||PZL-Mielec AN-2|Khabarovsk, Khabarovsk Krai|0|CCCP-09611|+
|Dec 24, 1974||Handley Page HPR-7 Dart Herald|Jersey, Channel Islands|0|G-BBXJ|+
|Dec 22, 1974|McGee Enterprises|Cessna 414 Chancellor|Chester, California|8|N414ZM|+
|Dec 22, 1974|Tradewinds Airways|Canadair CL-44|Lusaka, Lusaka City District|0|G-AWSC|+
|Dec 13, 1974|Les Liaisons Aériennes|Rockwell Aero Commander 680|Innsbruck, Tyrol|3|F-BIAS|+
|Dec 12, 1974|R. Lewis West|Beechcraft C-45 Expeditor|Palma Sola, Florida|0|N3719G|+
|Dec 10, 1974||Lockheed L-188 Electra|Deadhorse, Alaska|0|N400FA|+
|Dec 7, 1974||Cessna|Iscosasin, Pasco|3|-|+
|Dec 6, 1974|Ragsdale Aviation|Cessna 414 Chancellor|Pine Bluff-Grider Field, Arkansas|4|N44JG|+
|Dec 6, 1974||Piper PA-31-350 Navajo Chieftain|Leeds-Bradford, West Yorkshire|8|G-BBJG|+
|Dec 5, 1974||Pilatus PC-6 (Porter & Turbo Porter)|Wad Madani, Al Jazirah (ولاية الجزيرة)|0|HB-FDI|+
|Dec 4, 1974||Douglas DC-8|Maskeliya, Central Province (மத்திய மாகாணம்)|191|PH-MBH|+
|Dec 4, 1974||Antonov AN-12|Irkutsk-Intl, Irkutsk oblast|0|CCCP-12985|+
|Dec 4, 1974||PZL-Mielec AN-2|Irkutsk-Intl, Irkutsk oblast|13|CCCP-49342|+
|Dec 1, 1974|Southern Services|Beechcraft 100 King Air|Birmingham–Shuttlesworth, Alabama|2|N50PC|+
|Dec 1, 1974||Boeing 727-200|Thiells, New York|3|N274US|+
|Dec 1, 1974|Coal Resources|Cessna 421B Golden Eagle II|Mount Vernon, Ohio|0|N3368Q|+
|Dec 1, 1974||Boeing 727-200|Mt Weather, Virginia|92|N54328|+
|Nov 29, 1974||Douglas C-54 Skymaster|Mt de la Muerte, San José (Central Valley)|4|799|+
|Nov 23, 1974||Douglas DC-9|Belgrade-Nikola Tesla (ex Surčin), Belgrade City District|0|YU-AJN|+
|Nov 22, 1974|Marine Masters|Beechcraft D18|Santa Ana-John Wayne, California|3|N2085D|+
|Nov 21, 1974||Cessna 421A Golden Eagle I|Bogotá-El Dorado, Bogotá Capital District|6|HK-646-W|+
|Nov 21, 1974|Air Taxi Company (Iran)|Dassault Falcon 20|Kermanshah, Kermanshah|2|EP-AGX|+
|Nov 20, 1974||Boeing 747-100|Nairobi-Jomo Kenyatta (ex Embakasi), Nairobi City District|59|D-ABYB|+
|Nov 15, 1974|Southeast Skyways|De Havilland DHC-2 Beaver|Hoonah, Alaska|4|N9770Z|+
|Nov 12, 1974||Rockwell Grand Commander 690|Kingston, Utah|1|N40MP|+
|Nov 7, 1974|Earl Hightower|Cessna 401|Los Mochis, Sinaloa|3|N401EH|+
|Nov 1, 1974||PZL-Mielec AN-2|Surgut, Khantia-Mansia okrug|14|CCCP-70766|+
|Oct 30, 1974||Lockheed L-188 Electra|Rea Point (Melville Island), Nunavut|32|CF-PAB|+
|Oct 24, 1974||Piper PA-31-310 Navajo|Altus, Oklahoma|2|N979L|+
|Oct 20, 1974|Holloway Construction|Cessna 414 Chancellor|Jackson-Reynolds Field, Michigan|0|N414HC|+
|Oct 18, 1974||Antonov AN-12|Yeniseysk, Krasnoyarsk Krai|1|CCCP-11030|+
|Oct 17, 1974||De Havilland DHC-2 Beaver|Kasaan, Alaska|5|N129WA|+
|Oct 17, 1974||Beechcraft H18|Iron Mountain, Michigan|1|N72FA|+
|Oct 8, 1974|Khmer Airlines|Douglas DC-3|Krakor, Pursat|0|XW-PKX|+
|Oct 4, 1974||Douglas DC-6|Southend, Essex|0|OO-VGB|+
|Oct 1, 1974|Winship Air Services|Volpar Turboliner 18|Lupine, Alaska|6|N357V|+
|Oct 1, 1974||Fletcher FU-24|Waiomatatini, Gisborne District Council|1|ZK-CZC|+
|Sep 29, 1974||Antonov AN-2|Novoselovo, Krasnoyarsk Krai|10|CCCP-70953|+
|Sep 27, 1974|Ronald Brinkhoff|Cessna 340|Phoenix-Sky Harbor, Arizona|1|N9950F|+
|Sep 20, 1974|INA Aviation|Piper PA-31-310 Navajo|Duenweg, Missouri|0|N510BB|+
|Sep 13, 1974||Boeing 720|Copenhagen-Kastrup, Hovedstaden|0|OY-DSR|+
|Sep 11, 1974||Douglas DC-9|Charlotte-Douglas, North Carolina|72|N8984E|+
|Sep 11, 1974|Madison Nation Airways|Beechcraft E18|Madison, Indiana|2|N1258|+
|Sep 9, 1974||De Havilland DHC-6 Twin Otter|Puerto Montt-El Tepual, Región de Los Lagos|5|941|+
|Sep 7, 1974||Fokker F27 Friendship|Bandar Lampung, Lampung|33|PK-GFJ|+
|Aug 31, 1974|Alpine Aircraft Charters|Learjet 25|Briggsdale, Colorado|4|N366AA|+
|Aug 28, 1974||Antonov AN-2|Andryushkino, Republic of Yakutia (Sakha)|0|CCCP-04302|+
|Aug 24, 1974|Aircraft Mobilehomes|Cessna 340|Mt Bond, New Hampshire|2|N5AM|+
|Aug 23, 1974||PZL-Mielec AN-2|Chal, Smolensk oblast|2|CCCP-32183|+
|Aug 22, 1974|Harold S. Johnston|Cessna 414 Chancellor|Woodbine, Kansas|1|N911BS|+
|Aug 20, 1974|Zaire Air Force - Force Aérienne Zaïroise|Douglas C-54 Skymaster|Kisangani, Orientale|0|9T-THZ|+
|Aug 18, 1974||Lockheed C-141 Starlifter|La Paz, La Paz|7|65-0274|+
|Aug 13, 1974|Merric Aviation|De Havilland DHC-2 Beaver|Anaktuvuk Pass, Alaska|4|N7620|+
|Aug 7, 1974|Aero Proveedora Proa|Martin 404|Mariquita, Tolima|2|HK-1485|+
|Aug 7, 1974||Beechcraft D18|Detroit-City (Coleman A. Young), Michigan|0|N35CB|+
|Aug 6, 1974||PZL-Mielec AN-2|Shymkent, South Kazakhstan|0|CCCP-01362|+
|Aug 5, 1974|Laurentian Air Services|Douglas C-47 Skytrain (DC-3)|Mont-Apica, Quebec|5|C-FTAT|+
|Aug 1, 1974||Douglas A-26 Invader|Boise, Idaho|1|N91354|+
|Aug 1, 1974||Antonov AN-2|Zhigalovo, Irkutsk oblast|0|CCCP-25522|+
|Jul 24, 1974||Fokker F27 Friendship|Nantes-Atlantique (Château Bougon), Loire-Atlantique|3|F-BPUI|+
|Jul 18, 1974||Cessna 414 Chancellor|Cordova, Alaska|4|N1171L|+
|Jul 18, 1974||PZL-Mielec AN-2|Shyganak, Jambyl|9|CCCP-91788|+
|Jul 9, 1974|Wyman Pilot Services|Beechcraft D18|Hillsboro-Highland County, Ohio|0|N193CP|+
|Jul 9, 1974||Tupolev TU-154|Cairo-Intl, Cairo|6|SU-AXB|+
|Jul 9, 1974|Intermountain Aviation|Pilatus PC-6 (Porter & Turbo Porter)|Mt Baldy, Arizona|0|N351FH|+
|Jul 5, 1974|Topps Factory Outlet of Nashville|Piper PA-31-310 Navajo|Chatsworth, Georgia|1|N11HW|+
|Jul 4, 1974||PZL-Mielec AN-2|Usinsk, Republic of Komi|2|CCCP-92836|+
|Jul 3, 1974||Beechcraft H18|Iron Mountain, Michigan|1|N73FA|+
|Jun 28, 1974||PZL-Mielec AN-2|Petrovka, North Kazakhstan|1|CCCP-07401|+
|Jun 27, 1974|SS&T Aerial Contractors|Consolidated PB4Y-2 Privateer|Safford, Arizona|2|N7237C|+
|Jun 27, 1974|Cambodia Air Commercial|Boeing 307 Stratoliner|Battambang, Battambang|19|XW-TFR|+
|Jun 22, 1974|Holladay Aero Sales|Cessna 402|Petersburg, Virginia|2|N69379|+
|Jun 19, 1974||Noorduyn Norseman|Sachigo Lake, Ontario|1|CF-BHU|+
|Jun 12, 1974|Master Equipment Company|Lockheed P-2 Harpoon|Winslow, Arizona|2|N7263C|+
|Jun 7, 1974|Varbus Enterprises|Rockwell Aero Commander 520|Santee-Gillespie Field, California|2|N719Z|+
|May 31, 1974|Crédit Bail Haussmann|Piper PA-31-310 Navajo|Glux-en-Glenne, Nièvre|4|F-BOOJ|+
|May 26, 1974||Grumman HU-16 (SA-16) Albatross|Manado, North Sulawesi|10|PB-518|+
|May 24, 1974||PZL-Mielec AN-2|Burabay, Akmola|15|CCCP-70351|+
|May 23, 1974||Yakovlev Yak-40|Kiev-Zhuliany-Igor Sikorsky, Kiev oblast|29|CCCP-87579|+
|May 19, 1974||Armstrong Whitworth AW.650 Argosy|Anchorage-Ted Stevens Intl, Alaska|0|N891U|+
|May 13, 1974||PZL-Mielec AN-2|Crimea, Autonomous Republic of Crimea|0|CCCP-23664|+
|May 12, 1974||PZL-Mielec AN-2|Kichma, Kirov oblast|2|CCCP-07412|+
|May 11, 1974||PZL-Mielec AN-2|Shaki, Shaki-Zaqatala|8|CCCP-07294|+
|May 9, 1974||Ilyushin II-18|Ivano-Frankivsk, Ivano-Frankivsk Oblast|0|CCCP-75425|+
|May 6, 1974|Fragtflug|Douglas DC-6|Nuremberg, Bavaria|3|TF-OAE|+
|May 3, 1974|Lease Adventure|Cessna 207 Skywagon/Stationair|Miami-Opa Locka, Florida|0|N1504U|+
|May 2, 1974||Douglas C-47 Skytrain (DC-3)|Baños de Agua Santa, Tungurahua|20|HC-AUC|+
|May 2, 1974||Yakovlev Yak-40|Rostov-on-Don, Rostov oblast|1|CCCP-87398|+
|May 1, 1974||Antonov AN-12|SP-22 Polar Station, Krasnoyarsk Krai|1|CCCP-12950|+
|Apr 30, 1974||Beechcraft 99 Airliner|Galveston, Texas|6|N853SA|+
|Apr 30, 1974||Fokker F27 Friendship|Bassein, Ayeyarwady Region|0|XY-ADM|+
|Apr 28, 1974||De Havilland DHC-6 Twin Otter|Sala Phou Khoun, Xieng Khouang Province|0|N389EX|+
|Apr 20, 1974||Lockheed C-130 Hercules|Agana-Antonio Borja Won Pat, All Guam Island|6|62-1841|+
|Apr 19, 1974||De Havilland DHC-2 Beaver|Hamilton, Tasmania|2|VH-BSY|+
|Apr 12, 1974|Great Western Airlines|Beechcraft E18|Cheyenne, Wyoming|0|N40K|+
|Apr 11, 1974||Piper PA-61 Aerostar (Ted Smith 601)|La Grande, Oregon|3|N7474S|+
|Apr 11, 1974|Island Air USA|Beechcraft H18|Hilo, Hawaii|11|N28358|+
|Apr 9, 1974||Yakovlev Yak-40|Kazan-Borisoglebskoye, Republic of Tatarstan|0|CCCP-87369|+
|Apr 6, 1974||Ilyushin II-14|Ust-Kuyga, Republic of Yakutia (Sakha)|0|CCCP-52053|+
|Apr 4, 1974||Douglas DC-4|Gaborone-Seretse Khama, South-East District|78|A2-ZER|+
|Apr 3, 1974||Dornier DO.28D Skyservant|Elim, Alaska|0|N3799|+
|Mar 29, 1974|Electro-Enterprises|Cessna 421A Golden Eagle I|Bunker, Missouri|5|N3139K|+
|Mar 25, 1974||Fletcher FU-24|Pukekohe, Auckland Council|1|ZK-BVB|+
|Mar 13, 1974||Convair CV-440 Metropolitan|Bishop, California|36|N4819C|+
|Mar 13, 1974||De Havilland DH.104 Dove|Bankstown, New South Wales|2|VH-WST|+
|Mar 5, 1974||NAMC YS-11|Borrego Springs, California|0|N208PA|+
|Mar 3, 1974|Tiffany Realty|Lockheed 18 LodeStar|Lake Placid, Florida|1|N32L|+
|Mar 3, 1974||Douglas DC-7|Luton, Bedfordshire|0|EI-AWG|+
|Mar 2, 1974|Capital National Corporation|Mitsubishi MU-2 Marquise|Glenwood Springs, Colorado|5|N711AH|+
|Feb 20, 1974|Empire Gas Corporation|Cessna 414 Chancellor|Lebanon-Floyd W. Jones, Missouri|1|N1628T|+
|Feb 9, 1974||Rockwell T-39 Sabreliner|Colorado Springs, Colorado|7|60-3506|+
|Feb 5, 1974||PZL-Mielec AN-2|Makhachkala, Republic of Dagestan|0|CCCP-01579|+
|Jan 30, 1974||Boeing 707|Pago Pago, All American Samoa|97|N454PA|+
|Jan 25, 1974|Kinzig Tool Company|Piper PA-31-310 Navajo|Willoughby, Ohio|6|N7672L|+
|Jan 22, 1974||PZL-Mielec AN-2|Yegorlykskaya, Rostov oblast|2|CCCP-33225|+
|Jan 20, 1974|Marc-Land|Beechcraft 60 Duke|Hatch, Utah|6|N35D|+
|Jan 18, 1974||Dassault Falcon 20|Fort Worth-Meacham, Texas|0|N7824M|+
|Jan 16, 1974||Boeing 707|Los Angeles, California|0|N757TW|+
|Jan 15, 1974||Rockwell Sabreliner 40|Oklahoma City, Oklahoma|2|N5565|+
|Jan 14, 1974|Al Harmon|Rockwell Grand Commander 680|Sells, Arizona|1|N2500T|+
|Jan 11, 1974||Cessna 421A Golden Eagle I|Tulsa, Oklahoma|0|N4005L|+
|Jan 11, 1974|UC Leasing Company|Piper PA-31-310 Navajo|Novato-Gnoss Field, California|2|N6565L|+
|Jan 11, 1974|Florida Airways International|Lockheed 18 LodeStar|Placida, Florida|0|N711FN|+
|Jan 9, 1974||Avro 748|Florencia, Caquetá|32|FAC-1103|+
|Jan 7, 1974||Antonov AN-12|Chennai, Tamil Nadu|0|BL740|+
|Jan 6, 1974||Beechcraft 99 Airliner|Johnstown, Pennsylvania|12|N125AE|+
|Jan 6, 1974|Servicios Aéreos Bolivianos - SAB|Curtiss C-46 Commando|Unduavi, La Paz|4|CP-990|+
|Jan 2, 1974|Jim Lewis|Rockwell Aero Commander 560|Kerrville, Texas|2|N701W|+
|Jan 1, 1974||Fokker F28 Fellowship|Torino-Caselle, Piedmont|38|I-TIDE|+
|Dec 31, 1973|Aerangol (Transportes Aéreos de Angola)|De Havilland DH.104 Dove|Vila Gago Coutinho, Moxico|0|CR-LKE|+
|Dec 29, 1973||Beechcraft G18S|Ann Arbor, Michigan|0|N118W|+
|Dec 27, 1973||Piper PA-31-310 Navajo|Walla Walla, Washington|1|N66798|+
|Dec 24, 1973||PZL-Mielec AN-2|Khantaiskoye Ozero, Krasnoyarsk Krai|1|CCCP-32448|+
|Dec 23, 1973||Sud-Aviation SE-210 Caravelle|Ponta Pelada AFB, Manaus, Amazonas|0|PP-PDV|+
|Dec 22, 1973||Sud-Aviation SE-210 Caravelle|Tétouan, Tangier-Tétouan|106|OO-SRD|+
|Dec 21, 1973|Seventy Airways|Cessna 411|Endicott, New York|0|N424RF|+
|Dec 21, 1973||Yakovlev Yak-40|Yerevan, Yerevan|0|CCCP-87629|+
|Dec 21, 1973||Convair CV-440 Metropolitan|Talara, Piura|6|TAM-47|+
|Dec 20, 1973|Federal Land Bank of Columbia|Beechcraft 90 King Air|Columbia, South Carolina|2|N711FC|+
|Dec 20, 1973||Boeing 707|New Delhi-Palam, National Capital Territory of Delhi|0|D-ABOT|+
|Dec 14, 1973||Cessna 411|Lansing, Michigan|0|N1056R|+
|Dec 13, 1973|Aerolineas Comerciales Nacionales - ALCON|Douglas DC-7|Trinidad-Jorge Heinrich Arauz, Beni|0|CP-1048|+
|Dec 11, 1973||Douglas DC-6|Great Sitkin Island, Alaska|10|131615|+
|Dec 7, 1973||Tupolev TU-104|Moscow-Domodedovo, Moscow oblast|12|CCCP-42503|+
|Dec 7, 1973|Wyman Pilot Services|Beechcraft E18|Pittsburgh-Intl, Pennsylvania|2|N387B|+
|Dec 7, 1973||De Havilland DHC-2 Beaver|Münster, North Rhine-Westphalia|0|XP809|+
|Dec 4, 1973||BAc 111|Bahía Blanca-Comandante Espora, Buenos Aires province|0|LV-JNR|+
|Nov 27, 1973||Douglas DC-9|Akron-Canton, Ohio|0|N8967E|+
|Nov 27, 1973||Douglas DC-9|Chattanooga, Tennessee|0|N3323L|+
|Nov 27, 1973||Vickers Varsity|Little Rissington AFB, Gloucestershire|0|WF411|+
|Nov 23, 1973|Fort Wainwright Air|Rockwell Aero Commander 560|Galena, Alaska|1|N12317|+
|Nov 22, 1973||Rockwell Grand Commander 680|Birmingham, Alabama|1|N277LP|+
|Nov 17, 1973||Douglas C-47 Skytrain (DC-3)|Quảng Ngãi, Đồng Nai Province|27|XV-NIE|+
|Nov 14, 1973||Cessna 421A Golden Eagle I|Plymouth, Indiana|5|N550T|+
|Oct 31, 1973|Jack N. Bostwick|Cessna 401|La Verne-Brackett Field, California|2|N6273Q|+
|Oct 29, 1973|Compagnie Antillaise de Transport Aérien - CATA|Britten-Norman Islander|Mt Gimie, All Saint Lucia|4|N37JA|+
|Oct 25, 1973|Michigan Airtravel Corporation|Beechcraft 80 Queen Air|Cincinnati-Lunken Field, Ohio|2|N6875Q|+
|Oct 15, 1973||Lockheed C-130 Hercules|Mt Sugarloaf, Arkansas|7|62-1845|+
|Oct 12, 1973|Western Commander Aviation|Rockwell Grand Commander 680|Van Nuys, California|1|N7377B|+
|Oct 12, 1973|Avionas Banamex|BAe 125|Acapulco-General Juan N. Álvarez, Guerrero|8|XA-COL|+
|Oct 11, 1973||Antonov AN-2|Goris, Syunik|0|CCCP-70880|+
|Oct 6, 1973||Grumman G-44 Widgeon|Kodiak, Alaska|0|N176MS|+
|Oct 5, 1973||Antonov AN-2|Mt Khuuta, Republic of Yamalia|0|CCCP-04340|+
|Oct 3, 1973||Piper PA-61 Aerostar (Ted Smith 601)|Chicago-Merrill C. Meigs, Illinois|1|N8MW|+
|Oct 2, 1973||Antonov AN-12|Magadan, Magadan oblast|10|CCCP-12967|+
|Sep 29, 1973|Southwestern Railway Company|Cessna 402|Utica, Montana|8|N69307|+
|Sep 29, 1973||Avia 14|Szentkirályszabadja AFB, Veszprém|1|3155|+
|Sep 27, 1973||Convair CV-600|Mt Black Fork, Oklahoma|11|N94230|+
|Sep 26, 1973||Rockwell Shrike Commander 500|Andros Town, North Andros|0|N69NP|+
|Sep 25, 1973|Lisa Jet|Learjet 25|Lincoln, Nebraska|3|N40LB|+
|Sep 24, 1973|The Holy Nation of Islam|Lockheed L-1049 Super Constellation|Gary, Indiana|0|N566E|+
|Sep 21, 1973|Gary R. Smith|Cessna 411|Delavan, Wisconsin|4|N3243R|+
|Sep 20, 1973|Robert Airways|Beechcraft E18|Natchitoches, Louisiana|6|N50JR|+
|Sep 15, 1973||PZL-Mielec AN-2|Tashauz, Daşoguz Province (Daşoguz welaýaty)|1|CCCP-70212|+
|Sep 15, 1973||PZL-Mielec AN-2|Samarkand, Samarkand Province (Samarqand viloyati)|0|CCCP-32213|+
|Sep 11, 1973||Sud-Aviation SE-210 Caravelle|Mt Babin Zub, Central Region|41|YU-AHD|+
|Sep 10, 1973|California Airmotive Corporation|Convair CV-990|Agana-Antonio Borja Won Pat, All Guam Island|0|N7876|+
|Sep 8, 1973||Douglas DC-8|Mt Dutton, Alaska|6|N802WA|+
|Sep 4, 1973||PZL-Mielec AN-2|Kashin, Tver oblast|15|CCCP-01616|+
|Sep 4, 1973|Oliver B. Cannon & Sons|Lockheed 18 LodeStar|Pecos, Texas|3|N669M|+
|Aug 30, 1973||PZL-Mielec AN-2|Kyzyl, Republic of Tuva|0|CCCP-09649|+
|Aug 29, 1973||PZL-Mielec AN-2|Mt Salatau, Republic of Dagestan|8|CCCP-01794|+
|Aug 29, 1973||Tupolev TU-104|Nicosia, Nicosia|0|OK-MDE|+
|Aug 29, 1973||PZL-Mielec AN-2|Nerkha, Irkutsk oblast|0|CCCP-28954|+
|Aug 28, 1973||Lockheed C-141 Starlifter|Hueva, Castile-La Mancha|24|63-8077|+
|Aug 27, 1973||Lockheed L-188 Electra|Bogotá-El Dorado, Bogotá Capital District|42|HK-777|+
|Aug 25, 1973|FTI Aviation|Rockwell Aero Commander 520|Michigan City, Indiana|0|N2634B|+
|Aug 22, 1973||Rockwell Grand Commander 690|Alex, Oklahoma|2|N333CA|+
|Aug 22, 1973||Douglas DC-3|Yopal, Casanare|16|HK-111|+
|Aug 16, 1973||PZL-Mielec AN-2|Bysyttakh River, Republic of Yakutia (Sakha)|0|CCCP-41373|+
|Aug 15, 1973|Turks and Caicos Airways - Turks and Caicos National Airline|Britten-Norman Islander|Dondon, North|10|N38JA|+
|Aug 13, 1973||Sud-Aviation SE-210 Caravelle|La Coruna, Galicia|85|EC-BIC|+
|Aug 8, 1973||Yakovlev Yak-40|Arkhangelsk-Talagi, Arkhangelsk oblast|29|CCCP-87790|+
|Aug 5, 1973|Happy Hours Air Travel Club|Lockheed L-1049 Super Constellation|Tamarac, Florida|0|N6202C|+
|Jul 31, 1973||Douglas DC-9|Boston-Logan, Massachusetts|88|N975NE|+
|Jul 31, 1973||Antonov AN-2|Stavropol, Stavropol Krai|0|CCCP-98233|+
|Jul 30, 1973|Robert Wilmarth|Beechcraft C18S|West Falmouth, Massachusetts|0|N44565|+
|Jul 28, 1973||Avro 748|Acapulco-General Juan N. Álvarez, Guerrero|0|XA-SAB|+
|Jul 28, 1973|Compagnie Cotonnière et Industrielle|Piper PA-31-310 Navajo|Mt Sabyinyo, Nord-Kivu|7|9Q-CCC|+
|Jul 26, 1973||PZL-Mielec AN-2|Ordzhonikidzevskaya, Republic of Ingushetia|0|CCCP-35559|+
|Jul 25, 1973||Canadair CL-215|Vignale, Haute-Corse|2|F-ZBBM|+
|Jul 24, 1973|Alii Air Hawaii|Beechcraft C-45 Expeditor|Honolulu, Hawaii|5|N234JC|+
|Jul 23, 1973||Fairchild-Hiller FH-227|Saint Louis-Lambert, Missouri|38|N4215|+
|Jul 22, 1973||Boeing 707|Papeete, Tahiti|78|N417PA|+
|Jul 18, 1973|J. P. Tonkoff|Beechcraft 60 Duke|New Orleans-Lakefront, Louisiana|3|N7658D|+
|Jul 17, 1973||Convair CV-640|Tromsø, Troms|0|HB-IMM|+
|Jul 13, 1973||Beechcraft 60 Duke|Valdosta, Georgia|1|N7282D|+
|Jul 12, 1973|Aircraft Specialties Company|Boeing B-17 Flying Fortress|Eureka, Nevada|2|N620L|+
|Jul 10, 1973||Curtiss C-46 Commando|Beluga, Alaska|0|N1312V|+
|Jul 5, 1973||PZL-Mielec AN-2|Vinnitsa, Vinnytsia Oblast|3|CCCP-01335|+
|Jul 4, 1973||Ilyushin II-14|Shakhtersk, Sakhalin oblast|18|CCCP-91534|+
|Jul 3, 1973||Sud-Aviation SE-210 Caravelle|Mumbai-Chhatrapati Shivaji (Santa Cruz), Maharashtra|0|VT-DPO|+
|Jun 30, 1973||Tupolev TU-134|Amman, Amman City District|9|CCCP-65668|+
|Jun 25, 1973||PZL-Mielec AN-2|Irkutsk, Irkutsk oblast|0|CCCP-32558|+
|Jun 24, 1973||PZL-Mielec AN-2|Adamovka, Orenburg oblast|2|CCCP-01353|+
|Jun 22, 1973||Cessna 207 Skywagon/Stationair|Fürstenberg, Baden-Württemberg|3|D-EGTS|+
|Jun 21, 1973||PZL-Mielec AN-2|Abakan, Republic of Khakassia|2|CCCP-09228|+
|Jun 20, 1973||Douglas DC-9|Puerto Vallarta, Jalisco|27|XA-SOC|+
|Jun 18, 1973||Learjet 24|Wilhelmshaven, Lower Saxony|4|D-IHLZ|+
|Jun 17, 1973|Aerolineas Colonia|Convair CV-240|Montevideo-Carrasco, Montevideo City District|0|CX-BHS|+
|Jun 16, 1973|Northern Air Service - USA|Beechcraft D18|Timberon, New Mexico|0|N26Q|+
|Jun 9, 1973|Aircraft Specialties Company|Lockheed L-1049 Super Constellation|Casey, Quebec|3|N173W|+
|Jun 9, 1973||Boeing 707|Rio de Janeiro-Galeão, Rio de Janeiro|2|PP-VLJ|+
|Jun 3, 1973||Tupolev TU-144|Goussainville, Val-d'Oise|14|CCCP-77102|+
|May 31, 1973||Boeing 737-200|New Delhi-Palam, National Capital Territory of Delhi|48|VT-EAM|+
|May 31, 1973||Beechcraft E18|Longview, Texas|1|N73JB|+
|May 29, 1973||Douglas C-47 Skytrain (DC-3)|Rimouski, Quebec|4|CF-QBB|+
|May 28, 1973||Fokker F27 Friendship|Faysalabad, Punjab (پنجاب)|0|AP-AUW|+
|May 20, 1973||PZL-Mielec AN-2|Hirnyk, Donetsk Oblast|1|CCCP-55798|+
|May 19, 1973|David M. Hume|Rockwell Aero Commander 560|Granada Hills, California|1|N6191X|+
|May 16, 1973|Winship Air Services|Swearingen SA26T Merlin II|Deadhorse, Alaska|2|N1214S|+
|May 14, 1973||Antonov AN-24|Havana-José Martí (Rancho Boyeros), La Habana|3|CU-T876|+
|May 11, 1973|Charter Flight|Cessna 402|Greenville, Maine|6|N2985Q|+
|May 10, 1973||Beechcraft 90 King Air|Pratt, Kansas|4|YV-T-ADJ|+
|May 10, 1973||Douglas DC-8|Kathmandu-Tribhuvan, Bagmati|1|HS-TGU|+
|May 4, 1973|Clark Aerial Service|Lockheed PV-1 Ventura|Union Springs, Alabama|2|N45CK|+
|May 4, 1973||Learjet 24|Rio de Janeiro-Galeão, Rio de Janeiro|3|PT-CXK|+
|May 2, 1973||Nord 2501 Noratlas|Mueda, Cabo Delgado|11|6411|+
|Apr 25, 1973||Antonov AN-12|Russia, All Russia|6|-|+
|Apr 18, 1973||Nord 2501 Noratlas|Israel, All Israel|0|4X-FAO/072|+
|Apr 16, 1973|Playpen South|Beechcraft 80 Queen Air|Brick Township, New Jersey|6|N456WM|+
|Apr 15, 1973|Pioneer Ventura Aviation|Lockheed PV-1 Ventura|Chimichagua, Cesar|3|N175S|+
|Apr 14, 1973||PZL-Mielec AN-2|Osinovka, East Kazakhstan|1|CCCP-35577|+
|Apr 12, 1973||Convair CV-990|Moffett AFB, California|11|N711NA|+
|Apr 12, 1973||Lockheed P-3 Orion|Moffett AFB, California|5|157332|+
|Apr 11, 1973||Mitsubishi MU-2 Marquise|Mt Ozusu, Kyūshū|2|93-3205|+
|Apr 10, 1973||Vickers Vanguard|Hochwald, Solothurn|108|G-AXOP|+
|Apr 10, 1973|Lanser|Swearingen SA26T Merlin II|Stuttgart-Echterdingen, Baden-Württemberg|5|D-ILSE|+
|Apr 10, 1973|AiResearch Aviation|Swearingen SA226T Merlin III|Montreal-Pierre-Elliott Trudeau (ex Dorval), Quebec|0|N5296M|+
|Mar 31, 1973||Cessna 340|Gander, Newfoundland & Labrador|1|N7691Q|+
|Mar 31, 1973|Midwest Tankers|Piper PA-31-310 Navajo|Niles-Jerry Tyler, Michigan|2|N300X|+
|Mar 26, 1973||De Havilland DHC-6 Twin Otter|Savoy-Willard, Illinois|1|N7705|+
|Mar 24, 1973||Antonov AN-2|Ozernaya, Kamchatka Krai|2|CCCP-05670|+
|Mar 18, 1973|Georg O. Mejlaender Jr.|Rockwell Grand Commander 680|Oklahoma City-Downtown Airpark, Oklahoma|3|N7312|+
|Mar 15, 1973||Hindustan Aeronautics HAL-748|Hyderabad-Begumpet, Telangana|4|VT-EAU|+
|Mar 9, 1973||MBB HFB-320 Hansa Jet|Phoenix-Sky Harbor, Arizona|0|N320MC|+
|Mar 9, 1973||Antonov AN-2|Kondinskoye, Khantia-Mansia okrug|3|CCCP-01262|+
|Mar 8, 1973||Boeing KC-135 Stratotanker|Columbus-Rickenbacker (Lockbourne AFB), Ohio|2|63-7989|+
|Mar 5, 1973||Douglas DC-9|La Planche, Loire-Atlantique|68|EC-BII|+
|Mar 2, 1973|Arute International Air|Douglas C-47 Skytrain (DC-3)|Cockburn Town (San Salvador Island), San Salvador|0|N6574|+
|Feb 28, 1973||De Havilland DHC-5 Buffalo|San Ramón, Junín|12|-|+
|Feb 21, 1973|Air Taxi Services|Learjet 24|Detroit-Willow Run (Ypsilanti), Michigan|2|N100SQ|+
|Feb 21, 1973|Aerolineas Urraca|Douglas C-47 Skytrain (DC-3)|Mt Horqueta, Chiriquí|22|HP-560|+
